DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2012-11-19,41.1,41.1,39.9,40.4,572207.0,0.0,1.0,31.0926499642172,31.0926499642172,30.1848353667218,30.5630914490116,756375.147408316
2012-11-18,40.9,41.2,40.8,41.1,351680.0,0.0,1.0,30.9413475313013,31.1683011806752,30.8656963148434,31.0926499642172,464870.251221248
2012-11-17,41.3,41.3,41.0,41.2,263447.0,0.0,1.0,31.2439523971331,31.2439523971331,31.0169987477593,31.1683011806752,348238.947547441
2012-11-14,41.5,41.5,41.1,41.4,485651.0,0.0,1.0,31.395254830049,31.395254830049,31.0926499642172,31.3196036135911,641960.595927691
2012-11-13,41.7,41.7,41.1,41.5,451917.0,0.0,1.0,31.5465572629649,31.5465572629649,31.0926499642172,31.395254830049,597369.112036945
2012-11-12,41.7,41.7,41.6,41.7,369840.0,0.0,1.0,31.5465572629649,31.5465572629649,31.470906046507,31.5465572629649,488875.152728806
2012-11-11,41.9,42.0,41.7,41.7,413188.0,0.0,1.0,31.6978596958808,31.7735109123388,31.5465572629649,31.5465572629649,546174.958375811
2012-11-10,42.1,42.1,41.7,41.9,686459.0,0.0,1.0,31.8491621287967,31.8491621287967,31.5465572629649,31.6978596958808,907399.817399587
2012-11-07,42.1,42.4,42.0,42.3,1267367.0,0.0,1.0,31.8491621287967,32.0761157781706,31.7735109123388,32.0004645617126,1675276.43220974
2012-11-06,41.4,42.1,41.3,42.1,897098.0,0.0,1.0,31.3196036135911,31.8491621287967,31.2439523971331,31.8491621287967,1185834.20333849
2012-11-05,41.6,41.6,41.2,41.3,741787.0,0.0,1.0,31.470906046507,31.470906046507,31.1683011806752,31.2439523971331,980535.455649045
2012-11-04,41.5,41.7,41.4,41.6,447349.0,0.0,1.0,31.395254830049,31.5465572629649,31.3196036135911,31.470906046507,591330.874697379
2012-11-03,41.4,41.7,41.2,41.6,487410.0,0.0,1.0,31.3196036135911,31.5465572629649,31.1683011806752,31.470906046507,644285.740297283
2012-10-24,41.1,41.8,41.1,41.7,639614.0,0.0,1.0,30.7198364154856,31.2430453082068,30.7198364154856,31.1683011806752,855738.131038627
2012-10-23,41.3,41.4,40.9,41.3,1048221.0,0.0,1.0,30.8693246705488,30.9440687980804,30.5703481604224,30.8693246705488,1402412.51669826
2012-10-22,41.8,42.1,41.1,41.5,1822098.0,0.0,1.0,31.2430453082068,31.4672776908016,30.7198364154856,31.018812925612,2437780.8132549
2012-10-21,42.3,42.3,41.8,42.0,2291367.0,0.0,1.0,31.6167659458648,31.6167659458648,31.2430453082068,31.39253356327,3065614.75218426
2012-10-20,43.7,43.8,43.4,43.5,1109902.0,0.0,1.0,32.6631837313071,32.7379278588387,32.4389513487123,32.5136954762439,1484935.38777455
2012-10-17,43.8,44.1,43.7,43.9,1272713.0,0.0,1.0,32.7379278588387,32.9621602414335,32.6631837313071,32.8126719863703,1702759.85824038
2012-10-16,43.3,44.1,43.1,43.9,1845681.0,0.0,1.0,32.3642072211807,32.9621602414335,32.2147189661175,32.8126719863703,2469332.4558773
2012-10-15,42.1,43.4,42.1,43.4,1897849.0,0.0,1.0,31.4672776908016,32.4389513487123,31.4672776908016,32.4389513487123,2539127.90566424
2012-10-14,42.0,42.4,42.0,42.2,542418.0,0.0,1.0,31.39253356327,31.6915100733964,31.39253356327,31.5420218183332,725699.82139495
2012-10-13,42.9,42.9,42.0,42.1,895511.0,0.0,1.0,32.0652307110543,32.0652307110543,31.39253356327,31.4672776908016,1198102.15139839
2012-10-10,42.5,43.1,42.4,42.9,1471343.0,0.0,1.0,31.7662542009279,32.2147189661175,31.6915100733964,32.0652307110543,1968506.48818939
2012-10-09,43.1,43.2,42.6,42.6,975998.0,0.0,1.0,32.2147189661175,32.2894630936491,31.8409983284595,31.8409983284595,1305785.52754855
2012-10-08,42.9,43.4,42.0,43.0,2701378.0,0.0,1.0,32.0652307110543,32.4389513487123,31.39253356327,32.1399748385859,3614167.54628395
2012-10-07,40.8,43.0,40.8,43.0,3958541.0,0.0,1.0,30.4956040328908,32.1399748385859,30.4956040328908,32.1399748385859,5296123.09452228
2012-10-06,40.2,41.6,40.2,41.0,1758695.0,0.0,1.0,30.0471392677013,31.0935570531436,30.0471392677013,30.645092287954,2352954.08225426
2012-10-03,40.2,40.4,40.0,40.3,561036.0,0.0,1.0,30.0471392677013,30.1966275227644,29.8976510126381,30.1218833952329,750608.801691937
2012-10-02,40.2,40.7,40.1,40.3,1922027.0,0.0,1.0,30.0471392677013,30.4208599053592,29.9723951401697,30.1218833952329,2571475.59744749
2012-10-01,39.7,40.1,39.7,40.1,634993.0,0.0,1.0,29.6734186300433,29.9723951401697,29.6734186300433,29.9723951401697,849555.705538982
2012-09-30,39.5,39.9,39.4,39.7,611030.0,0.0,1.0,29.5239303749801,29.8229068851065,29.4491862474485,29.6734186300433,817495.661771837
2012-09-29,39.5,39.9,39.2,39.2,639909.0,0.0,1.0,29.5239303749801,29.8229068851065,29.2996979923853,29.2996979923853,856132.810874678
2012-09-26,39.9,39.9,39.6,39.6,499409.0,0.0,1.0,29.8229068851065,29.8229068851065,29.5986745025117,29.5986745025117,668158.177094106
2012-09-25,39.9,40.1,39.7,40.0,634687.0,0.0,1.0,29.8229068851065,29.9723951401697,29.6734186300433,29.8976510126381,849146.308827688
2012-09-24,40.0,40.0,39.6,40.0,530943.0,0.0,1.0,29.8976510126381,29.8976510126381,29.5986745025117,29.8976510126381,710347.444721412
2012-09-22,40.2,40.2,39.8,39.9,695938.0,0.0,1.0,30.0471392677013,30.0471392677013,29.7481627575749,29.8229068851065,931093.883871772
2012-09-19,40.1,40.3,40.0,40.2,465499.0,0.0,1.0,29.9723951401697,30.1218833952329,29.8976510126381,30.0471392677013,622790.064414396
2012-09-18,40.2,40.3,40.0,40.3,487145.0,0.0,1.0,30.0471392677013,30.1218833952329,29.8976510126381,30.1218833952329,651750.199096348
2012-09-17,40.3,40.4,40.2,40.2,328145.0,0.0,1.0,30.1218833952329,30.1966275227644,30.0471392677013,30.0471392677013,439024.456953209
2012-09-16,40.3,40.4,40.2,40.4,837724.0,0.0,1.0,30.1218833952329,30.1966275227644,30.0471392677013,30.1966275227644,1120789.05415798
2012-09-15,40.4,40.6,40.2,40.4,978945.0,0.0,1.0,30.1966275227644,30.3461157778276,30.0471392677013,30.1966275227644,1309728.31221582
